crop_category,soil_category,rainfall_category,Pathway,NH4_load,P_load
2.0,1,1,1,6.775255680668217e-06,3.090534986209754e-06
2.0,1,2,0,4.867563831753414e-05,1.053241318885342e-05
2.0,1,2,1,1.1221621515611556e-05,5.178773764545245e-06
2.0,1,3,0,6.968257583062347e-05,1.4580565988588295e-05
2.0,1,3,1,1.7798832798703393e-05,8.076082607910047e-06
2.0,1,4,0,9.74053714971353e-05,1.9831295324633885e-05
2.0,1,4,1,2.3358075481370424e-05,1.0316435720738616e-05
2.0,1,5,0,0.0001248468981926,2.602351609000988e-05
2.0,1,5,1,4.44849579120462e-05,1.7882509825940748e-05
2.0,2,0,0,5.160525541666549e-05,1.0521843215021817e-05
2.0,2,0,1,4.571447029932683e-06,2.432432184636865e-06
2.0,2,1,0,6.672681050988939e-05,1.2257779025947022e-05
2.0,2,1,1,5.0675195853173404e-06,2.577943526731686e-06
2.0,2,2,0,8.46413482258896e-05,1.4857196527032483e-05
2.0,2,2,1,7.201022310714882e-06,3.68450252425619e-06
2.0,2,3,0,0.0001130936713125,1.95481089888813e-05
2.0,2,3,1,9.693247439685735e-06,5.094401353087042e-06
2.0,2,4,0,0.0001577145871038,2.694714465759425e-05
2.0,2,4,1,1.1235106600193067e-05,5.869203296827097e-06
2.0,2,5,0,0.0002273769969482,3.4539418852742484e-05
2.0,2,5,1,2.254682663549928e-05,1.060862836552409e-05
3.0,0,0,0,,2.7279261385296e-06
3.0,0,0,1,5.072511633880537e-06,2.118970023606428e-06
3.0,0,1,0,,3.6673808021486e-06
3.0,0,1,1,4.311284740227384e-06,1.936383576338547e-06
3.0,0,2,0,,5.2830282050684e-06
3.0,0,2,1,9.241247980138357e-06,4.130316422535868e-06
3.0,0,3,0,,7.707875456499321e-06
3.0,0,3,1,1.2272804397722452e-05,5.736891030305125e-06
3.0,0,4,0,,1.1550361022498698e-05
3.0,0,4,1,1.7067251920565207e-05,7.602144276806056e-06
3.0,0,5,0,,1.76791939065202e-05
3.0,0,5,1,3.211159306429866e-05,1.330205771176861e-05
3.0,1,0,0,1.9260955576642644e-05,6.953763597928067e-06
3.0,1,0,1,8.270630060419492e-06,3.181294694962851e-06
3.0,1,1,0,2.4957831610441864e-05,8.362862227816338e-06
3.0,1,1,1,6.419625437756944e-06,2.6751183408124194e-06
3.0,1,2,0,3.257401790030224e-05,1.0454705342846352e-05
3.0,1,2,1,1.0299550503941116e-05,4.525703791154532e-06
3.0,1,3,0,4.816347860443749e-05,1.4497325828787438e-05
3.0,1,3,1,1.5977778474127466e-05,7.097026572078646e-06
3.0,1,4,0,7.187675577134076e-05,1.997629537210987e-05
3.0,1,4,1,2.0904268779221392e-05,9.143109582617508e-06
3.0,1,5,0,0.0001021553046065,2.7128356809790375e-05
3.0,1,5,1,3.90812107337396e-05,1.6126538801229444e-05
3.0,2,0,0,3.282870153435766e-05,1.03506937515483e-05
3.0,2,0,1,4.3162304368428886e-06,2.009484185382593e-06
3.0,2,1,0,4.379626639904715e-05,1.2230862100690352e-05
3.0,2,1,1,4.720622087361233e-06,2.1632925344290712e-06
3.0,2,2,0,5.721284934989819e-05,1.4825990122908153e-05
3.0,2,2,1,6.558144233147089e-06,3.1347552537741367e-06
3.0,2,3,0,7.921036122970652e-05,1.9457016154005275e-05
3.0,2,3,1,8.60651487158315e-06,4.338451848244015e-06
3.0,2,4,0,0.0001189059981262,2.7047636808434317e-05
3.0,2,4,1,9.876497749952988e-06,5.048475610254422e-06
