OPCAT_ID,crop_category,livestock_category,excreta_per_ha
3042,0,2,0.0
3042,0,3,0.0
3042,0,4,1.3879964620196727
3042,0,5,0.0
3042,4,1,5.9696923921001925
3042,4,2,0.047314103106696974
3042,4,3,0.04379231144180606
3042,4,4,6.939982310098524
3042,4,5,0.4530660878894985
3043,-1,1,0.0
3043,-1,2,0.0
3043,-1,3,0.07348813491148327
3043,-1,4,0.0
3043,-1,5,0.015816142582267233
3043,0,1,0.0
3043,0,2,0.0
3043,0,3,0.0
3043,0,4,2.0053181266609594
3043,0,5,0.0
3043,4,1,3.6010056766035667
3043,4,2,0.06952361624628875
3043,4,3,0.07348813491148327
3043,4,4,10.026590633304917
3043,4,5,0.015816142582267233
3044,-1,1,0.0
3044,-1,2,0.0
3044,-1,3,1.3640445017698082
3044,-1,4,0.0
3044,-1,5,0.0
3044,0,1,0.0
3044,0,2,0.0
3044,0,3,0.0
3044,0,4,0.5359421770829911
3044,0,5,0.0
3044,4,1,7.624175688665662
3044,4,2,0.6487588742912267
3044,4,3,1.3640445017698082
3044,4,4,2.679710885414758
3044,4,5,0.0
3045,-1,1,0.0
3045,-1,2,0.0
3045,-1,3,0.36738866264756204
3045,-1,4,0.0
3045,-1,5,0.30061919068117526
3045,0,1,0.0
3045,0,2,0.0
3045,0,3,0.0
3045,0,4,0.3812680727939098
3045,0,5,0.0
3045,4,1,10.457727822440033
3045,4,2,12.328586640765588
3045,4,3,0.36738866264756204
3045,4,4,1.9063403639695602
3045,4,5,0.30061919068117526
3046,-1,1,0.0
3046,-1,2,0.0
3046,-1,3,0.2776187763251506
3046,-1,4,0.0
3046,-1,5,0.19884272659685637
3046,0,1,0.0
3046,0,2,0.0
3046,0,3,0.0
3046,0,4,0.47573010718216624
3046,0,5,0.0
3046,4,1,9.681738022552183
3046,4,2,7.662216067980255
3046,4,3,0.2776187763251506
3046,4,4,2.378650535910808
3046,4,5,0.19884272659685637
3051,-1,1,0.0
3051,-1,2,0.0
3051,-1,3,0.5998409422627561
3051,-1,4,0.0
3051,-1,5,1.4603802012631264
3051,0,1,0.0
3051,0,2,0.0
3051,0,3,0.0
3051,0,4,0.7848409294785605
3051,0,5,0.0
3051,4,1,8.803062841866664
3051,4,2,25.90076848249962
3051,4,3,0.5998409422627561
3051,4,4,3.924204647392765
3051,4,5,1.4603802012631264
3052,-1,1,0.0
3052,-1,2,0.0
3052,-1,3,0.863077610683392
3052,-1,4,0.0
3052,-1,5,0.28610393064275114
3052,0,1,0.0
3052,0,2,0.0
3052,0,3,0.0
3052,0,4,1.5041541169242651
3052,0,5,0.0
3052,4,1,12.774876285202115
3052,4,2,1.9229393036162874
3052,4,3,0.863077610683392
3052,4,4,7.520770584621352
3052,4,5,0.28610393064275114
3053,-1,1,0.0
3053,-1,2,0.0
3053,-1,3,0.5876530361840216
3053,-1,4,0.0
3053,-1,5,0.49576707944348003
3053,0,1,0.0
3053,0,2,0.0
3053,0,3,0.0
3053,0,4,0.49351741114223224
3053,0,5,0.0
3053,4,1,10.624007043308325
3053,4,2,13.880703773687248
3053,4,3,0.5876530361840216
3053,4,4,2.4675870557111064
3053,4,5,0.49576707944348003
3054,-1,1,0.0
3054,-1,2,0.0
3054,-1,3,1.9716347679576471
3054,-1,4,0.0
3054,-1,5,1.0517866226617816
3054,0,1,0.0
3054,0,2,0.0
3054,0,3,0.0
3054,0,4,0.4932544264718205
3054,0,5,0.0
3054,4,1,17.652924670167373
3054,4,2,0.5726340593723832
3054,4,3,1.9716347679576471
3054,4,4,2.4662721323591223
3054,4,5,1.0517866226617816
3057,-1,1,0.0
3057,-1,2,0.0
3057,-1,3,6.415550286678391
3057,-1,4,0.0
3057,-1,5,0.11432010429008482
3057,0,1,0.0
3057,0,2,0.0
3057,0,3,0.0
3057,0,4,0.690230567875477
3057,0,5,0.0
3057,4,1,15.26212891380936
3057,4,2,0.1406854516467083
3057,4,3,6.415550286678391
3057,4,4,3.451152839377386
3057,4,5,0.11432010429008482
3058,-1,1,0.0
3058,-1,2,0.0
3058,-1,3,0.016587205493476073
3058,-1,4,0.0
3058,-1,5,0.0414491219663988
3058,0,1,0.0
3058,0,2,0.0
3058,0,3,0.0
3058,0,4,0.7199620221520017
3058,0,5,0.0
3058,4,1,9.05218566245688
3058,4,2,6.4584472706516705
3058,4,3,0.016587205493476073
3058,4,4,3.5998101107603735
3058,4,5,0.0414491219663988
3062,-1,1,0.0
3062,-1,2,0.0
3062,-1,3,0.49757493503438915
3062,-1,4,0.0
3062,-1,5,0.3433679885461087
3062,0,1,0.0
3062,0,2,0.0
3062,0,3,0.0
3062,0,4,1.281334410885109
3062,0,5,0.0
3062,4,1,6.603694454434522
3062,4,2,4.095502792231717
3062,4,3,0.49757493503438915
3062,4,4,6.406672054425547
3062,4,5,0.3433679885461087
3063,-1,1,0.0
3063,-1,2,0.0
3063,-1,3,1.0514942664833593
3063,-1,4,0.0
3063,-1,5,0.16676312748402905
3063,0,1,0.0
3063,0,2,0.0
3063,0,3,0.0
3063,0,4,1.332341575679251
3063,0,5,0.0
3063,4,1,8.012954352907597
3063,4,2,10.716188742785762
3063,4,3,1.0514942664833593
3063,4,4,6.661707878396246
3063,4,5,0.16676312748402905
3064,-1,1,0.0
3064,-1,2,0.0
3064,-1,3,0.09839385730462413
3064,-1,4,0.0
3064,-1,5,0.09980609198346746
3064,0,1,0.0
3064,0,2,0.0
3064,0,3,0.0
3064,0,4,0.47235382440101964
3064,0,5,0.0
3064,4,1,5.897927868646444
3064,4,2,3.2589760885966017
3064,4,3,0.09839385730462413
3064,4,4,2.361769122005076
3064,4,5,0.09980609198346746
3065,-1,1,0.0
3065,-1,2,0.0
3065,-1,3,0.6538913078422918
3065,-1,4,0.0
3065,-1,5,0.26472640687839266
3065,0,1,0.0
3065,0,2,0.0
3065,0,3,0.0
3065,0,4,0.8532200606673607
3065,0,5,0.0
3065,4,1,12.737128553528402
3065,4,2,14.835411718569283
3065,4,3,0.6538913078422918
3065,4,4,4.266100303336805
3065,4,5,0.26472640687839266
3067,-1,1,0.0
3067,-1,2,0.0
3067,-1,3,0.0
3067,-1,4,0.0
3067,-1,5,0.0015984956372052728
3067,0,1,0.0
3067,0,2,0.0
3067,0,3,0.0
3067,0,4,1.3344881389823078
3067,0,5,0.0
3067,4,1,14.8958056417191
3067,4,2,11.821228521193628
3067,4,3,0.0
3067,4,4,6.672440694911508
3067,4,5,0.0015984956372052728
3075,-1,1,0.0
3075,-1,2,0.0
3075,-1,3,0.4834795809726922
3075,-1,4,0.0
3075,-1,5,0.005811032512073633
3075,0,1,0.0
3075,0,2,0.0
3075,0,3,0.0
3075,0,4,0.97252690147317
3075,0,5,0.0
3075,4,1,6.885416495736967
3075,4,2,14.26811620767653
3075,4,3,0.4834795809726922
3075,4,4,4.8626345073678685
3075,4,5,0.005811032512073633
3077,-1,1,0.0
3077,-1,2,0.0
3077,-1,3,0.1435884770149498
3077,-1,4,0.0
3077,-1,5,0.17660890227520062
3077,0,1,0.0
3077,0,2,0.0
3077,0,3,0.0
3077,0,4,0.30169666078728363
3077,0,5,0.0
3077,4,1,6.870120404359125
3077,4,2,0.2840050415584825
3077,4,3,0.1435884770149498
3077,4,4,1.5084833039364232
3077,4,5,0.17660890227520062
3078,-1,1,0.0
3078,-1,2,0.0
3078,-1,3,0.06665369111549513
3078,-1,4,0.0
3078,-1,5,0.18067053748956582
3078,0,1,0.0
3078,0,2,0.0
3078,0,3,0.0
3078,0,4,0.6713555678369121
3078,0,5,0.0
3078,4,1,13.505566147819556
3078,4,2,6.753470448760513
3078,4,3,0.06665369111549513
3078,4,4,3.356777839184576
3078,4,5,0.18067053748956582
3079,-1,1,0.0
3079,-1,2,0.0
3079,-1,3,0.20658222707552673
3079,-1,4,0.0
3079,-1,5,0.5267649199176394
3079,0,1,0.0
3079,0,2,0.0
3079,0,3,0.0
3079,0,4,1.1159037706783437
3079,0,5,0.0
3079,4,1,10.08372071472453
3079,4,2,3.1324727356072555
3079,4,3,0.20658222707552673
3079,4,4,5.579518853391456
3079,4,5,0.5267649199176394
3080,-1,1,0.0
3080,-1,2,0.0
3080,-1,3,0.44722536182944095
3080,-1,4,0.0
3080,-1,5,0.135708751479411
3080,0,1,0.0
3080,0,2,0.0
3080,0,3,0.0
3080,0,4,0.6781839198552861
3080,0,5,0.0
3080,4,1,7.6806265873829975
3080,4,2,13.664962064717162
3080,4,3,0.44722536182944095
3080,4,4,3.3909195992765087
3080,4,5,0.135708751479411
3081,-1,1,0.0
3081,-1,2,0.0
3081,-1,3,0.005716304441827663
3081,-1,4,0.0
3081,-1,5,0.8868290424876929
3081,0,1,0.0
3081,0,2,0.0
3081,0,3,0.0
3081,0,4,1.701530286463924
3081,0,5,0.0
3081,4,1,7.75797191441796
3081,4,2,1.8305998027072021
3081,4,3,0.005716304441827663
3081,4,4,8.507651432319767
3081,4,5,0.8868290424876929
3085,-1,1,0.0
3085,-1,2,0.0
3085,-1,3,0.936997585318706
3085,-1,4,0.0
3085,-1,5,1.403302804932914
3085,0,1,0.0
3085,0,2,0.0
3085,0,3,0.0
3085,0,4,0.517580596879657
3085,0,5,0.0
3085,4,1,11.59731937228477
3085,4,2,15.991320793193593
3085,4,3,0.936997585318706
3085,4,4,2.5879029843983425
3085,4,5,1.403302804932914
3094,-1,1,0.0
3094,-1,2,0.0
3094,-1,3,0.24459291873013042
3094,-1,4,0.0
3094,-1,5,0.03752666194636786
3094,0,1,0.0
3094,0,2,0.0
3094,0,3,0.0
3094,0,4,0.2643853464319833
3094,0,5,0.0
3094,4,1,11.725309660532469
3094,4,2,12.024635459737025
3094,4,3,0.24459291873013042
3094,4,4,1.321926732159919
3094,4,5,0.03752666194636786
3095,-1,1,0.0
3095,-1,2,0.0
3095,-1,3,0.0013599490018531232
3095,-1,4,0.0
3095,-1,5,0.04136232351872224
3095,0,1,0.0
3095,0,2,0.0
3095,0,3,0.0
3095,0,4,1.5369507757278245
3095,0,5,0.0
3095,4,1,5.903189183815333
3095,4,2,3.031739497150421
3095,4,3,0.0013599490018531232
3095,4,4,7.6847538786391185
3095,4,5,0.04136232351872224
3096,-1,1,0.0
3096,-1,2,0.0
3096,-1,3,0.15586251270480472
3096,-1,4,0.0
3096,-1,5,0.7116874690771542
3096,0,1,0.0
3096,0,2,0.0
3096,0,3,0.0
3096,0,4,0.46822598585835373
